base_speed,min_speed,max_speed,k_curve,steer_gain,center_gain,steer_smooth_alpha,brake_angle_th,brake_max,enable_tc,tc_slip_th,tc_accel_cut,driver_name,car,top_speed,lap_amount,best_lap_time (seconds),full_time (seconds)
145.0,50.0,230.0,34.0,12.5,0.22,0.45,0.35,0.95,True,1.6,0.18,,,,,,
145.0,50.0,230.0,34.0,12.5,0.22,0.45,0.35,0.95,True,1.6,0.18,,,,,,
145.0,50.0,230.0,34.0,12.5,0.22,0.45,0.35,0.95,True,1.6,0.18,,,,,,
200.0,50.0,300.0,70.0,12.5,0.22,0.45,0.35,0.95,True,1.6,0.18,,,,,,
100.0,30.0,400.0,5.0,12.5,0.22,0.45,0.35,0.95,True,1.6,0.18,,,,,,
145.0,50.0,230.0,34.0,12.5,0.22,0.45,0.35,0.95,True,1.6,0.18,,,,,,
160.0,55.0,210.0,34.0,12.5,0.22,0.45,0.35,0.95,True,1.6,0.18,,,,,,
145.0,50.0,230.0,34.0,12.5,0.22,0.45,0.35,0.95,True,1.6,0.18,,,,,,
100.0,30.0,400.0,5.0,12.5,0.22,0.45,0.35,0.95,True,1.6,0.18,,,,,,
200.0,50.0,300.0,70.0,12.5,0.22,0.45,0.35,0.95,True,1.6,0.18,,,,,,
160.0,55.0,210.0,34.0,12.5,0.22,0.45,0.35,0.95,True,1.6,0.18,,,,,,
145.0,50.0,230.0,34.0,12.5,0.22,0.45,0.35,0.95,True,1.6,0.18,,,,,,
100.0,30.0,400.0,5.0,12.5,0.22,0.45,0.35,0.95,True,1.6,0.18,,,,,,
235.0,70.0,300.0,20.0,6.8,0.08,0.78,0.55,0.45,True,2.8,0.05,,,,,,
145.0,50.0,230.0,34.0,12.5,0.22,0.45,0.35,0.95,True,1.6,0.18,,,,,,
235.0,70.0,300.0,20.0,6.8,0.08,0.78,0.55,0.45,True,2.8,0.05,,,,,,
115.0,45.0,165.0,85.0,17.5,0.42,0.18,0.18,1.0,True,0.9,0.22,,,,,,
205.0,65.0,270.0,36.0,14.0,0.16,0.26,0.32,0.9,True,1.8,0.08,,,,,,
185.0,50.0,250.0,58.0,11.5,0.24,0.82,0.12,1.0,True,0.7,0.02,,,,,,
155.0,55.0,210.0,42.0,9.4,0.36,0.12,0.24,0.72,True,1.1,0.3,,,,,,
235.0,70.0,300.0,20.0,6.8,0.08,0.78,0.55,0.45,True,2.8,0.05,,,,,,
115.0,45.0,165.0,85.0,17.5,0.42,0.18,0.18,1.0,True,0.9,0.22,,,,,,
145.0,50.0,230.0,34.0,12.5,0.22,0.45,0.35,0.95,True,1.6,0.18,,,,,,
185.0,50.0,250.0,58.0,11.5,0.24,0.82,0.12,1.0,True,0.7,0.02,,,,,,
205.0,65.0,270.0,36.0,14.0,0.16,0.26,0.32,0.9,True,1.8,0.08,,,,,,
155.0,55.0,210.0,42.0,9.4,0.36,0.12,0.24,0.72,True,1.1,0.3,,,,,,
115.0,45.0,165.0,85.0,17.5,0.42,0.18,0.18,1.0,True,0.9,0.22,,,,,,
145.0,50.0,230.0,34.0,12.5,0.22,0.45,0.35,0.95,True,1.6,0.18,,,,,,
205.0,65.0,270.0,36.0,14.0,0.16,0.26,0.32,0.9,True,1.8,0.08,,,,,,
235.0,70.0,300.0,20.0,6.8,0.08,0.78,0.55,0.45,True,2.8,0.05,,,,,,
145.0,50.0,230.0,34.0,12.5,0.22,0.45,0.35,0.95,True,1.6,0.18,,,,,,
115.0,45.0,165.0,85.0,17.5,0.42,0.18,0.18,1.0,True,0.9,0.22,,,,,,
185.0,50.0,250.0,58.0,11.5,0.24,0.82,0.12,1.0,True,0.7,0.02,,,,,,
235.0,70.0,300.0,20.0,6.8,0.08,0.78,0.55,0.45,True,2.8,0.05,,,,,,
185.0,50.0,250.0,58.0,11.5,0.24,0.82,0.12,1.0,True,0.7,0.02,,,,,,
115.0,45.0,165.0,85.0,17.5,0.42,0.18,0.18,1.0,True,0.9,0.22,,,,,,
205.0,65.0,270.0,36.0,14.0,0.16,0.26,0.32,0.9,True,1.8,0.08,,,,,,
235.0,70.0,300.0,20.0,6.8,0.08,0.78,0.55,0.45,True,2.8,0.05,,,,,,
115.0,45.0,165.0,85.0,17.5,0.42,0.18,0.18,1.0,True,0.9,0.22,,,,,,
145.0,50.0,230.0,34.0,12.5,0.22,0.45,0.35,0.95,True,1.6,0.18,,,,,,
235.0,70.0,300.0,20.0,6.8,0.08,0.78,0.55,0.45,True,2.8,0.05,,,,,,
115.0,45.0,165.0,85.0,17.5,0.42,0.18,0.18,1.0,True,0.9,0.22,,,,,,
185.0,50.0,250.0,58.0,11.5,0.24,0.82,0.12,1.0,True,0.7,0.02,,,,,,
205.0,65.0,270.0,36.0,14.0,0.16,0.26,0.32,0.9,True,1.8,0.08,,,,,,
